amountOfVerbs,amountOfPronouns,amountOfNouns,amountOfAdjectives,amountOfAdverbs,restOfWords,totalAmount,id
1,2,6,0,0,4,13,1
0,0,6,0,0,1,7,4
6,0,8,1,0,7,22,5
0,0,5,1,0,2,8,6
3,0,6,0,1,6,16,7
1,0,12,1,0,4,18,8
1,0,10,1,0,2,14,10
1,1,5,0,0,8,15,13
1,0,5,0,1,5,12,14
3,1,3,0,0,3,10,15
2,0,2,0,2,3,9,16
7,3,14,1,0,2,27,17
3,0,5,1,0,3,12,18
1,0,5,0,0,1,7,19
0,0,7,0,0,4,11,20
0,0,2,0,0,1,3,23
1,1,1,0,0,0,3,24
1,0,1,0,1,0,3,25
1,1,1,1,1,0,5,26
0,1,1,0,0,1,3,28
1,0,0,1,0,1,3,31
1,0,2,1,0,0,4,32
0,0,2,0,0,0,2,33
0,1,1,1,0,1,4,34
0,0,1,0,0,0,1,36
2,1,2,0,0,2,7,37
0,0,3,1,0,1,5,38
1,1,1,0,0,0,3,39
0,0,2,0,0,0,2,40
1,1,1,0,0,1,4,41
0,0,1,0,0,1,2,44
1,0,3,1,0,0,5,48
2,1,2,2,1,2,10,49
1,0,6,2,0,1,10,50
2,1,1,1,0,2,7,52
0,0,10,1,0,2,13,53
4,2,7,2,1,5,21,54
0,0,6,0,0,1,7,55
1,0,17,0,0,3,21,56
1,1,2,0,0,1,5,57
1,0,5,0,0,2,8,59
0,0,2,4,0,5,11,61
3,1,11,1,0,7,23,62
0,0,5,0,0,0,5,63
2,3,5,0,1,3,14,64
3,3,4,1,0,5,16,65
4,0,4,0,1,4,13,66
3,0,3,1,0,3,10,67
1,0,5,0,0,2,8,68
3,3,7,4,2,8,27,71
0,0,8,0,0,1,9,73
2,0,6,1,0,2,11,74
1,0,14,0,0,2,17,76
0,0,9,0,0,1,10,77
2,1,6,2,1,3,15,78
2,1,9,1,1,5,19,79
0,0,12,0,0,0,12,80
3,1,9,2,0,9,24,81
6,3,8,2,0,5,24,82
4,0,7,0,1,4,16,83
1,0,10,0,0,6,17,85
3,1,7,1,0,7,19,86
0,0,7,1,0,4,12,89
5,1,7,2,2,5,22,91
1,0,7,0,0,1,9,92
1,0,5,1,0,1,8,93
7,5,2,1,0,4,19,95
6,4,11,1,0,7,29,96
1,1,5,2,0,4,13,97
1,0,12,0,0,4,17,98
5,1,5,1,0,6,18,100
2,0,10,2,0,2,16,102
2,0,11,1,0,4,18,104
0,0,4,0,0,0,4,105
1,1,9,0,0,6,17,107
1,1,6,1,1,2,12,109
3,2,3,0,0,2,10,110
0,0,8,1,1,4,14,112
0,1,9,0,0,8,18,113
2,1,6,0,1,8,18,114
5,3,6,1,2,11,28,117
2,2,6,3,1,5,19,118
5,3,3,1,0,5,17,119
1,0,8,1,2,4,16,120
0,0,7,0,0,5,12,121
3,1,8,1,0,5,18,126
0,0,12,0,0,1,13,128
4,2,12,1,1,6,26,129
3,0,12,1,1,9,26,130
0,0,8,0,0,0,8,131
1,1,2,0,0,1,5,132
0,0,9,0,0,2,11,133
0,0,10,0,0,5,15,134
0,0,7,1,0,1,9,135
0,0,4,0,0,0,4,136
2,1,11,1,0,13,28,137
5,3,8,1,0,5,22,138
4,0,9,2,0,6,21,139
3,3,2,0,0,2,10,141
3,0,9,0,3,6,21,143
4,1,6,1,2,3,17,144
5,1,6,1,3,5,21,145
0,0,3,3,0,2,8,146
4,3,5,2,1,5,20,149
0,0,20,1,0,1,22,151
1,0,7,0,0,4,12,153
0,0,20,1,0,1,22,156
1,1,4,1,0,2,9,157
4,1,7,2,1,9,24,158
0,0,5,1,1,4,11,159
2,0,5,0,0,5,12,160
1,0,3,2,2,3,11,161
3,0,7,4,3,3,20,162
0,0,2,0,0,0,2,163
0,0,20,1,0,1,22,164
0,0,20,1,0,1,22,165
0,0,20,1,0,1,22,168
1,1,4,0,0,2,8,170
0,0,20,1,0,1,22,171
0,0,20,1,0,1,22,172
4,2,5,3,2,4,20,173
2,1,8,1,0,4,16,174
3,2,8,1,1,7,22,175
0,0,11,0,0,1,12,176
2,1,7,2,0,4,16,178
3,1,6,2,3,3,18,180
4,3,5,2,1,10,25,182
4,3,5,1,0,3,16,183
10,3,6,2,0,7,28,184
1,0,6,1,1,2,11,185
2,2,1,0,0,0,5,187
0,0,2,0,0,0,2,190
5,3,4,3,1,5,21,191
7,4,4,2,1,2,20,193
2,0,6,2,0,4,14,194
4,1,13,1,0,1,20,195
4,0,10,2,0,2,18,196
1,0,10,3,0,6,20,197
3,1,3,1,0,6,14,198
3,0,10,2,0,3,18,199
1,1,7,3,0,4,16,201
3,0,10,2,0,4,19,203
1,0,6,0,0,2,9,204
0,0,6,2,0,3,11,205
2,0,12,0,0,8,22,208
0,0,7,2,0,2,11,209
3,0,13,1,0,3,20,210
5,0,10,2,0,3,20,211
1,1,5,4,0,2,13,212
1,2,7,0,1,2,13,213
2,1,6,4,0,9,22,215
3,0,10,2,0,3,18,216
1,0,10,2,1,1,15,218
0,0,7,2,0,3,12,219
0,0,6,2,0,3,11,220
0,0,8,0,1,2,11,221
0,0,15,0,0,3,18,222
0,0,6,0,0,4,10,225
3,0,11,2,0,2,18,226
3,0,10,2,0,3,18,229
1,1,15,3,0,5,25,231
1,1,9,5,1,8,25,232
0,0,8,0,0,2,10,235
4,1,7,1,0,1,14,237
5,0,10,2,0,3,20,238
1,1,1,1,0,1,5,240
2,2,5,1,0,3,13,241
4,1,4,2,1,9,21,242
1,0,7,0,0,4,12,243
0,0,3,1,0,3,7,244
2,0,10,1,0,7,20,245
4,3,7,0,1,9,24,246
2,0,8,0,0,1,11,247
0,0,12,1,0,7,20,248
3,0,8,0,0,1,12,249
3,0,5,1,0,0,9,251
2,0,9,1,3,4,19,252
2,0,7,0,0,1,10,253
0,0,11,0,0,2,13,254
2,0,7,1,0,3,13,256
2,1,7,3,0,4,17,258
4,2,2,1,0,4,13,260
2,0,10,0,0,1,13,261
2,0,8,0,0,1,11,262
1,0,2,0,0,2,5,263
3,1,4,1,0,2,11,264
0,0,11,0,0,2,13,265
0,0,7,0,0,1,8,266
5,4,5,3,0,4,21,267
0,0,16,0,0,4,20,268
2,0,8,0,0,1,11,269
2,0,7,0,0,1,10,270
0,0,11,0,0,2,13,271
1,0,10,0,0,2,13,272
2,3,9,1,1,6,22,273
4,1,4,0,0,4,13,274
3,0,7,0,0,1,11,276
2,0,8,0,0,1,11,277
1,1,3,0,0,4,9,279
1,0,4,2,0,3,10,280
0,0,13,0,0,0,13,281
2,0,8,0,0,1,11,283
2,0,8,0,0,1,11,285
2,0,8,0,0,1,11,287
2,0,8,0,0,1,11,289
0,0,7,0,0,4,11,290
4,2,5,2,1,4,18,291
2,0,8,0,0,1,11,293
4,3,3,0,0,3,13,294
3,1,6,1,1,5,17,296
0,0,18,0,0,1,19,297
1,0,3,0,1,1,6,298
2,2,6,1,0,3,14,299
4,0,6,3,2,4,19,301
1,0,2,0,0,0,3,302
1,0,9,1,0,5,16,303
2,2,6,0,0,5,15,307
6,2,3,1,2,3,17,309
3,1,9,1,0,4,18,310
2,1,0,0,0,1,4,312
3,1,9,1,0,4,18,313
2,1,9,0,2,2,16,314
3,2,2,0,3,3,13,315
4,0,9,0,1,6,20,316
4,2,4,3,0,3,16,318
4,2,5,1,1,9,22,320
3,2,7,3,3,6,24,321
2,0,6,1,0,8,17,322
2,2,4,0,0,6,14,327
2,0,2,1,0,3,8,328
3,1,6,2,0,5,17,329
2,0,4,2,1,0,9,330
4,1,9,0,1,6,21,331
3,0,8,1,1,5,18,332
5,2,4,2,1,9,23,334
2,1,3,2,2,3,13,335
3,2,6,3,2,7,23,336
2,0,10,2,3,5,22,337
3,1,9,1,0,4,18,338
0,0,17,1,0,0,18,340
6,0,13,2,3,5,29,341
2,1,8,1,1,8,21,344
2,0,4,0,0,1,7,345
1,1,9,1,1,4,17,346
5,3,6,2,0,5,21,347
0,0,4,0,0,1,5,348
1,0,15,0,0,4,20,349
1,0,2,0,0,1,4,352
2,0,8,0,0,2,12,353
0,0,7,1,0,2,10,354
1,0,15,0,0,4,20,355
1,0,15,0,0,4,20,356
2,1,6,2,0,5,16,358
1,0,15,0,0,4,20,360
4,0,9,1,0,6,20,361
1,0,5,0,0,0,6,363
2,0,4,1,1,5,13,364
5,2,10,0,0,6,23,365
2,2,4,3,0,3,14,368
1,0,15,0,0,4,20,370
2,1,8,5,1,7,24,371
4,2,10,0,0,6,22,372
5,2,9,0,0,7,23,375
3,0,8,2,0,5,18,380
2,0,6,0,0,4,12,381
5,2,7,1,0,10,25,383
1,0,15,0,0,4,20,384
2,0,5,0,0,2,9,386
0,0,12,1,0,0,13,389
2,0,8,0,0,2,12,390
1,0,15,0,0,4,20,393
1,0,15,0,0,4,20,394
1,1,4,0,3,1,10,396
0,2,11,2,0,1,16,397
1,0,3,0,1,2,7,398
0,0,15,1,0,2,18,401
0,0,2,0,0,0,2,402
0,0,13,1,0,6,20,404
3,2,5,0,0,7,17,406
4,0,8,3,0,5,20,407
0,0,4,1,0,3,8,409
4,3,5,0,0,7,19,410
1,0,8,1,0,2,12,412
1,1,1,0,0,2,5,413
0,0,17,1,0,2,20,415
1,1,3,1,0,5,11,418
1,1,10,3,0,9,24,419
2,0,9,0,1,6,18,420
1,1,16,1,0,4,23,421
1,1,4,1,0,6,13,423
3,1,8,2,1,11,26,424
4,2,4,1,1,4,16,426
2,1,9,1,0,4,17,427
4,3,2,0,2,4,15,429
1,0,7,2,0,7,17,432
0,0,13,1,0,3,17,435
5,1,6,1,1,7,21,436
1,0,9,1,0,3,14,437
3,1,2,0,0,5,11,438
2,0,7,1,0,4,14,440
1,0,2,0,0,1,4,442
1,1,8,2,0,9,21,443
4,1,7,4,0,7,23,444
1,1,12,2,0,3,19,445
0,0,15,1,0,4,20,446
0,0,15,1,0,5,21,447
0,0,11,0,0,3,14,448
0,0,3,1,0,1,5,450
1,0,5,0,1,0,7,451
1,1,6,0,0,3,11,452
0,0,8,2,0,2,12,453
2,1,5,0,1,3,12,454
1,0,15,0,0,1,17,455
1,1,9,2,1,3,17,456
5,4,8,2,0,5,24,457
4,1,8,2,0,8,23,459
1,1,17,0,0,0,19,461
1,0,13,2,0,4,20,462
1,0,15,0,0,1,17,463
0,0,15,1,0,4,20,465
2,1,9,0,0,4,16,466
0,0,2,0,0,0,2,467
2,0,7,2,0,3,14,468
0,0,2,0,0,0,2,469
2,1,9,1,0,10,23,470
3,1,8,0,0,2,14,471
1,0,9,0,0,6,16,472
0,0,14,1,0,5,20,474
3,1,8,0,2,4,18,475
6,1,6,0,0,3,16,476
2,0,14,0,0,2,18,477
2,2,6,1,0,4,15,478
6,0,8,0,2,8,24,479
1,0,6,0,1,1,9,480
1,0,4,0,0,1,6,481
2,1,7,2,1,6,19,482
0,0,4,1,0,0,5,483
2,0,9,1,1,4,17,484
2,0,12,1,0,0,15,485
3,1,3,0,0,1,8,486
2,1,9,4,0,1,17,487
1,0,14,0,0,3,18,489
4,1,15,0,0,2,22,490
3,4,7,2,1,7,24,492
0,0,21,0,0,0,21,493
2,0,7,0,1,1,11,495
1,1,7,0,0,2,11,496
2,1,7,0,0,2,12,498
0,1,9,0,0,3,13,499
0,1,7,0,0,2,10,501
0,1,7,0,0,2,10,502
2,1,7,0,0,2,12,503
4,1,4,1,4,5,19,504
3,2,9,1,0,3,18,506
4,0,12,0,1,5,22,509
1,0,7,1,0,5,14,512
3,2,6,0,0,11,22,513
0,0,7,0,0,3,10,514
2,1,7,0,0,2,12,516
0,0,19,0,0,0,19,517
2,1,7,0,0,2,12,518
0,0,10,0,0,1,11,519
0,0,7,2,0,1,10,520
0,1,10,0,0,3,14,521
1,1,7,0,0,2,11,522
2,1,7,0,0,2,12,523
1,1,8,0,0,1,11,524
2,1,6,0,0,2,11,526
2,1,11,2,1,6,23,527
0,0,16,1,0,2,19,528
1,1,7,0,0,2,11,530
0,1,7,0,0,2,10,531
1,1,7,0,0,2,11,533
0,1,7,0,0,2,10,535
0,0,14,0,1,5,20,536
6,1,5,2,1,7,22,538
0,0,16,1,0,2,19,540
0,0,16,1,0,2,19,542
2,1,7,0,0,2,12,543
2,1,6,0,0,2,11,544
2,0,7,1,0,3,13,546
3,0,7,2,0,3,15,550
4,0,7,0,1,7,19,551
0,0,4,0,0,2,6,552
2,2,5,3,1,2,15,556
4,0,8,0,0,3,15,558
3,0,11,1,0,3,18,559
3,0,11,1,0,3,18,560
0,0,2,0,0,2,4,561
0,0,11,0,0,2,13,563
1,1,2,0,0,0,4,564
2,0,6,0,0,3,11,565
0,0,7,1,0,2,10,567
1,0,4,3,0,5,13,568
0,0,8,1,0,0,9,569
0,0,12,2,0,5,19,570
1,0,4,1,0,2,8,571
3,0,15,1,0,5,24,574
3,0,8,1,0,3,15,575
4,0,6,2,0,6,18,576
0,0,10,0,0,3,13,577
0,0,2,1,0,1,4,578
0,0,12,2,0,5,19,579
3,0,11,1,0,3,18,580
0,0,12,0,0,3,15,581
0,0,11,0,0,2,13,583
3,0,11,1,0,3,18,584
0,0,9,0,0,2,11,585
2,0,7,0,0,4,13,588
2,0,9,3,0,2,16,589
2,0,9,0,0,3,14,592
2,0,6,0,0,3,11,594
2,0,3,2,0,0,7,598
0,0,5,1,1,0,7,599
1,0,5,1,0,0,7,600
1,0,5,3,2,5,16,603
2,0,3,1,0,1,7,604
2,0,6,0,0,3,11,606
1,0,3,2,0,1,7,607
0,0,2,1,0,1,4,608
1,0,9,0,1,2,13,609
0,0,4,0,0,1,5,611
4,3,2,1,0,4,14,612
2,0,9,3,0,0,14,613
3,0,9,3,0,1,16,614
1,1,14,1,0,0,17,615
3,1,2,1,0,2,9,617
2,0,7,1,0,2,12,619
1,1,1,0,0,1,4,621
2,0,8,0,1,3,14,622
3,0,10,0,0,5,18,623
2,0,1,0,1,2,6,624
2,0,11,0,0,1,14,625
0,0,2,0,0,0,2,628
1,0,6,1,0,0,8,630
2,0,4,2,1,1,10,631
4,2,3,1,1,4,15,633
0,0,9,0,0,1,10,635
2,1,6,3,0,6,18,636
1,0,3,1,0,0,5,637
1,0,5,3,1,2,12,638
1,0,5,0,0,2,8,640
1,1,1,3,0,2,8,641
2,0,11,1,0,6,20,642
5,0,6,0,0,6,17,643
1,0,9,1,0,4,15,644
1,0,7,2,0,1,11,646
2,1,4,1,0,4,12,649
0,0,14,0,1,0,15,651
0,0,6,0,0,1,7,652
2,0,5,0,1,2,10,653
4,3,4,2,2,5,20,654
2,0,6,1,1,4,14,655
3,1,3,1,0,8,16,656
0,0,8,0,0,3,11,657
2,0,9,1,0,2,14,658
2,0,8,1,0,2,13,659
2,0,4,2,0,1,9,660
1,0,11,0,0,3,15,661
1,0,10,0,0,2,13,662
1,0,9,1,0,3,14,664
1,0,11,1,0,1,14,665
1,0,7,2,0,1,11,667
5,2,6,1,1,2,17,669
2,1,4,3,1,1,12,671
8,1,7,1,2,9,28,672
0,0,9,0,0,1,10,674
0,0,11,2,2,3,18,675
3,0,7,3,0,1,14,677
0,0,3,2,0,2,7,679
2,0,5,3,0,1,11,680
3,0,8,2,1,7,21,681
2,0,15,1,0,5,23,682
2,1,8,2,2,5,20,683
0,0,14,0,1,0,15,684
4,0,8,2,0,13,27,685
4,2,8,1,2,7,24,686
0,1,6,0,0,1,8,687
2,2,4,2,0,3,13,688
0,0,8,0,0,4,12,689
1,0,16,1,1,0,19,690
0,0,2,0,0,0,2,691
1,3,3,0,0,1,8,697
3,0,11,1,0,3,18,699
7,4,5,1,0,5,22,700
